RouteNum;Authority;City;Transport;Operator;ValidityPeriods;SpecialDates;RouteTag;RouteType;Commercial;RouteName;Weekdays;RouteID;Entry;RouteStops;Pikas2012.10.7;Datestart
39;;;;4 АП;15992,;;;A>B;A;д/с Восточная - ЩЕДРИНА;12345;106836;;15629,15630,15631,15632,15633,15634,68885,15741,15218,14961,14962,14963,15145,15146,15148;;d1-d5 - 14.10.2013
;;;;;;;;B>A;A;ЩЕДРИНА - д/с Восточная;12345;106837;;15148,15149,15005,15006,15007,15008,58359,15740,15738,15603,15604,15605,15606,15607,15629;;
40;;;;5 АП;15949,;;;A>B;A;ДС Кунцевщина - Ландера;1234567;100761;;15858,15553,15554,58331,72952,15517,15247,15250,15251,14839,15279,15280,15281,14685,14686,14687,14688,14689,14690,73579,15869,15665,15838,15020,15021,15022,15023,15024,15025,15026,15031,15032,15033,15034,15029;;d1-d5 - 30.12.2013<br>d6-d7 - 01.09.2013
;;;;;;;;B>A;A;Ландера - ДС Кунцевщина;1234567;100764;;15029,69069,69102,15030,15059,15060,15061,15062,15063,15064,15065,15837,15839,15845,15870,14572,14573,14575,14576,14577,15220,15221,15222,14700,15252,15253,15258,15518,15519,72951,15520,15521,15522,15858;;
41;;;;;16049,;;;A>B;A;ДС Одоевского- Каменная Горка-5;12345;112789;;14850,14853,15249,15254,15255,15226,15241,15242,15518,15519,72951,71956,71954,71953,71456,14605,14606,14607,14608,14610,73868,73864,73865,73866;;d1-d5 - 10.12.2013
;;;;;;;;B>A;A;Каменная Горка-5-ДС Одоевского;12345;112788;;73866,133344,72403,14602,14603,71957,71952,71955,58331,72952,15517,15259,15260,15261,15262,15256,15257,15248,14852,14850;;
;;;;;;;0,2;E>C1;A;Масюковщина-Каменная Горка;12345;112787;;14608,14610,73868,73864,73865,73866;;
;;;;;;;0.2;D>B1;A;D - Каменная Горка-5(подбор от метро);12345;112794;;14608,14610,73868,73864,73865,73866;;
42;;;;;16102,;;;A>B;A;Сухарево-5-Люцинская;1234567;119940;;133395,73663,69090,73484,58361,15177,14893,15178,14878,14867,14600,14601,15522,151194,147007,199081,133381,133382,133386,133383;;d1 - 03.02.2014<br>d2-d5 - 04.02.2014<br>d6-d7 - 01.02.2014
;;;;;;;;B>A;A;Люцинская - Сухарево-5;67;119939;;133383,133387,133389,187018,147047,147006,72403,14606,14607,14868,14889,14890,14891,58360,58362,15141,73666,73665,133395;;
;;;;;16104,;;;B>A;A;Люцинская- Сухарево-5;12345;120047;;133383,133387,133389,187018,147047,147006,72403,14606,14607,14868,14889,14890,14891,58360,58362,15141,73666,73665,133395;;
;;;;;16102,;;0;D>B;A;D -Люцинская;1234567;119946;;54194,14878,14867,14600,14601,15522,151194,147007,199081,133381,133382,133386,133383;;
43;;;;4 АП;16040,;;;A>B;A;Вокзал - Степянка;1234567;112283;;15897,15443,15905,15906,15612,15613,15614,14477,15478,15475,15476,15814,15811,14736,14737,15364,15365,15366,15370,15381,15382,15383,15384,15385;;d1-d5 - 02.12.2013<br>d6-d7 - 01.12.2013
;;;;;;;;B>A;A;Степянка -Вокзал;1234567;112285;;15385,15386,15387,15377,15378,15367,15368,15417,14777,14778,15812,15813,15474,15477,14474,15626,15627,15628,15907,15908,15909,15896,15897;;
43д;;;;;;;;A>B;A;ст.м. Тракторный завод - Степянка;1234567;112295;;15814,15811,14736,14737,15364,15365,15366,15370,15381,15382,15383,15384,15385;;d1-d5 - 02.12.2013<br>d6-d7 - 01.12.2013
;;;;;;;;B>A;A;Степянка - Тракторный завод;1234567;112294;;15385,15386,15387,15377,15378,15367,15368,15417,14777,14778,15812,15813,15814;;
44;;;;7 АП;15738,;;;A>B;A;дс Карастояновой - ст Ждановичи;1234567;98666;;15750,15714,73818,73819,68965,15018,15019,15748,15747,15736,14471,15741,15218,15011,15526,15039,15040,15041,15855,15853,15851,15849,54761,15077,15046,15075,15078,15079,15080;;d1-d5 - 16.08.2013<br>d6-d7 - 02.02.2013
;;;;;;;;B>A;A;ст Ждановичи - дс Карастояновой;1234567;98665;;15080,15081,15082,15076,15083,15921,54757,15850,15852,15854,15856,15084,15112,15113,15890,15743,58359,15740,15737,14516,14517,14518,14519,58357,73932,73820,15750;;
45;;;;4 АП;16120,;;;A>B;A;д/с Дружная - Минскрыбпром;12345;120846;;71378,15665,15838,15840,14810,14812,15065,15103,15101,15105,15106,15091,15071,15072,15073,15074;;d1-d5 - 19.02.2014
;;;;;;;;B>A;A;Минскрыбпром - д/с Дружная;12345;120847;;15074,15085,15086,15087,15088,15090,15097,15100,15102,14720,15842,15841,15839,15844,15914,71378;;
46;;;;;15749,;;;A>B;A;д/с Масюковщина - а/в "Центральный";1234567;88696;;15228,15241,15242,15247,15250,15251,14839,15279,15280,15281,14685,14686,14687,14688,14570,14571,15893,15894,133147;;d1-d5 - 13.02.2013<br>d6-d7 - 16.02.2013
;;;;;;;;B>A;A;а/в "Центральный - д/с Масюковщина;12345;88694;;133147,69093,15944,15892,14525,14526,14575,14576,14577,15220,15221,15222,14700,15252,15253,15258,15259,15260,15261,15262,15228;;
;;;;;15752,;;;B>A;A;а/в "Центральный" - д/с Масюковщина;67;89130;;133147,69093,15944,15892,14525,14526,14575,14576,14577,15220,15221,15222,14700,15252,15253,15258,15259,15260,15261,15262,15228;;
47;;;;2 АП;16048,;;;A>B;A;ДС Курасовщина - филиал БГУ;12345;112737;;15836,15056,15058,15031,15032,15947,16118,16119,16120;;d1-d5 - 09.12.2013
;;;;;;;;B>A;A;филиал БГУ - ДС Курасовщина;12345;112731;;16120,16121,16122,15949,15950,15030,15047,15048,15836;;
48;;;;6 АП;16041,;;;A>B;A;д/с Чижовка - Ландера;12345;111808;;15534,15539,15540,15541,15542,15484,15485,15486,15456,58334,15085,15086,15087,15088,15052,15053,15056,15057,15058,15027,69101,15028,15029;;d1-d5 - 02.12.2013
;;;;;;;;B>A;A;Ландера - д/с Чижовка;12345;111807;;15029,15036,15037,15038,15031,15047,15048,15049,15050,15051,15071,15072,15073,15074,15960,15490,15459,15460,15469,15498,15499,15500,15501,15538,193139,15710,15533,15534;;
49;;;;4 АП;15815,;;;A>B;A;д/с Масюковщина - С. Ковалевской;1234567;91963;;15227,15241,15242,15247,15250,15251,14701,14702,14703,14704,14714,14716,54642,15925,15927,15673,15675,14718,15676,15677,15678,15679;;d1-d5 - 01.10.2013<br>d6-d7 - 20.04.2013
;;;;;;;;B>A;A;С. Ковалевской - д/с Масюковщина;1234567;91966;;15679,15680,15681,15682,15698,15670,15671,15672,58363,15923,14762,14715,14817,14818,14819,14838,15252,15253,15258,15259,15260,15261,15262,15227;;
50с;;;;2 АП;16068,;;;A>B;A;д/с Дружная - ДС Сухарево-5;1234567;114639;;15914,15845,15870,14572,14573,14576,14591,14852,15562,15587,15132,15136,15137,15138,15139,15140,15141,73666,73665,133395;;d1-d5 - 30.12.2013<br>d6-d7 - 22.02.2014
;;;;;;;;B>A;A;ДС Сухарево-5 - д/с Дружная;67;114641;;133395,73663,69090,58340,15153,15154,15158,15159,15160,15589,15588,14853,14682,14684,14687,14689,14690,73579,15869,73075,15914;;
;;;;;16069,;;;B>A;A;ДС Сухарево-5  - д/с Дружная;12345;114362;;133395,73663,69090,58340,15153,15154,15158,15159,15160,15589,15588,14853,14682,14684,14687,14689,14690,73579,15869,73075,15914;;
;;;;;16068,;;0;B>D;A;ДС Сухарево-5 - D АП 2;12345;114643;;133395,73663,69090,58340,15153,15154,15158,15159,15160;;
51;;;;;16083,;;;A>B;A;д/с Лошица-2 - о.п. Лошица;1234567;118041;;68811,15468,15485,15486,15491,15492,16129,16127,72008,191170,191171;;d1-d5 - 13.01.2014<br>d6-d7 - 18.01.2014
;;;;;;;;B>A;A;о.п. Лошица - д/с Лошица-2;1234567;118042;;191171,16128,16130,191173,15454,15455,15459,15460,15461,68810,68811;;
53;;;;;16120,;;;A>B;A;д/с Дружная - Ландера;1234567;120853;;15914,15665,15838,15840,14810,14812,15104,15103,15101,15099,15105,15106,15052,15053,15056,15057,15058,15031,15032,15033,15034,15035;;d1-d5 - 19.02.2014<br>d6-d7 - 22.02.2014
;;;;;;;;B>A;A;Ландера - д/с Дружная;1234567;120852;;15035,15036,15037,15038,15047,15048,15049,15050,15090,15097,15098,15100,15102,14720,15842,15841,15839,15844,68833,15914;;
54;;;;5 АП;16046,;;;A>B;A;ДС Запад-3 - ст.м. Спортивная;1234567;112618;;69517,14878,14600,14601,14602,14603,71957,133399,188136,188138,188140,15517,15247,15248,14593;;d1-d5 - 03.01.2014<br>d6-d7 - 07.12.2013
;;;;;;;;B>A;A;ст.м. Спортивная - ДС Запад-3;1234567;112619;;14593,15245,15246,15518,188142,188141,188139,188137,151196,71456,14605,14606,14607,14868,72620,69517;;
55;;;;2 АП;16017,;;;A>B;A;а/в "Восточный" - ж/д ст. Минск-Южный;12345;109454;;14795,14796,14802,14803,14804,15447,16186,195083,16187;;d1-d5 - 08.11.2013
;;;;;;;;B>A;A;ж/д ст. Минск-Южный - а/в "Восточный";12345;109455;;16187,15548,15549,14727,14728,14729,14730,14731,14732,14795;;
56;;;;6 АП;16042,;;;A>B;A;ДС Серебрянка - Дражня;12345;112305;;14501,14504,54305,54306,15759,15801,15804,15806,15807,15810,14735,14736,14737,15379,15380,15401;;d1-d5 - 03.12.2013
;;;;;;;;B>A;A;Дражня - ДС Серебрянка;12345;112306;;15401,15402,15403,15417,14777,14778,14779,15809,15808,15805,15803,15802,15758,15760,15762,14475,14476,14501;;
57;;;;4 АП;15815,;;;A>B;A;д/с Восточная - СЕМАШКО;1234567;91975;;15629,15983,15986,15984,15179,15779,15566,15122,15567,15568,15936,15937,15931,15934,15926,15924,14763,15201,16249,15685,15686,15688,15689,16251;;d1-d5 - 16.09.2013<br>d6-d7 - 20.04.2013
;;;;;;;;B>A;A;СЕМАШКО - д/с Восточная;1234567;91976;;16251,15197,15200,15596,14816,15922,68958,15929,15930,15932,15597,15599,15600,15778,15150,15182,15987,15988,15629;;
58;;;;6 АП;15745,;;;A>B;A;АС Автозаводская  - ТЦ Ома;1234567;88232;;14830,15620,15954,14901,73907,73908,14837,14832;;d1-d5 - 04.11.2013<br>d6 - 09.02.2013<br>d7 - 10.02.2013
;;;;;;;;B>A;A;ТЦ Ома - АС Автозаводская;1234567;88233;;14832,14899,16254,14621,14829,14712,14711,14830;;
59;;;;;16040,;;;A>B;A;д/с Чижовка - КУЛЬМАН;1234567;111576;;68866,71280,15527,15528,15529,15769,14707,14708,14549,15622,15623,15624,14733,14734,14736,14737,14739,14740,14741,14742,14754,14755,14757,14766,15019,15748,15747,15732,15730,15719,15718,15721;;d1-d5 - 02.12.2013<br>d6-d7 - 01.12.2013
;;;;;;;;B>A;A;КУЛЬМАН - д/с Чижовка;1234567;111573;;15721,14456,15731,14516,14517,14518,14765,14766,14767,14769,14770,14771,14772,14773,14775,14777,14778,14780,15616,15617,15618,58366,14550,149028,14579,14588,15530,15531,15532,15533,68866;;
;;;;;;;0.88;B1>D;A;КУЛЬМАН - D;1234567;111578;;15721,14456,15731,14516,14517,14518,14765,14766,14767,14769,14770,14771,14772,14773,14775,14777,14778,14780,15616,15617,15618,58366,14550,14579,14588,15530;;
;;;;;;;0.48;D>B1;A;АП 6 - КУЛЬМАН (подбор с Круглой);1234567;111577;;14737,14739,14740,14741,14742,14754,14755,14757,14766,15019,15748,15747,15732,15730,15719,15718,15721;;
60;;;;5 АП;16060,;;;A>B;A;дс Запад-3 - ТЦ Ждановичи;1234567;113655;;69517,14878,14608,72405,72406,151194,147007,151195,71450,133184,133183;;d1-d5 - 20.01.2014<br>d6-d7 - 25.01.2014
;;;;;;;;B>A;A;ТЦ Ждановичи - ДС Запад-3;1234567;113656;;133183,133185,71451,147047,147006,72615,72406,72617,14868,72620,69517;;
61;;;;6 АП;15746,;;;A>B;A;АС Автозаводская  - ул. Селицкого;1234567;88359;;14830,15620,16040,14745,14747,14748,14749,58367,14784,14785,14786,14787,14788,14789,14792,14793,69287;;d1-d5 - 02.09.2013<br>d6 - 07.12.2013<br>d6-d7 - 01.12.2013<br>d7 - 10.02.2013
;;;;;16046,;;;A>B;A;АС Автозаводская  - ул.Селицкого;6;112625;;14830,15620,16040,14745,14747,14748,14749,58367,14784,14785,14786,14787,14788,14789,14792,14793,69287;;
;;;;;15746,;;;B>A;A;ул. Селицкого - АС Автозаводская;1234567;88361;;69287,69288,14791,14794,14820,14821,14822,14823,58367,14824,14825,14828,16041,14712,14830;;
;;;;;16046,;;;B>A;A;ул.Селицкого- АС Автозаводская;6;112627;;69287,69288,14791,14794,14820,14821,14822,14823,58367,14824,14825,14828,16041,14712,14830;;
62э;;;;4 АП;16002,;;;A>B;A;ДС Запад-3 - Новинки;12345;107437;;69517,15170,14860,14615,14682,14838,14841,14844,14964,14967,14968,15957;;d1-d5 - 24.10.2013
;;;;;;;;B>A;A;Новинки - ДС Запад-3;12345;107438;;15957,15001,15002,14695,14696,14699,14591,14593,14865,14882,14888,69517;;
63;;;;7 АП;16041,;;;A>B;A;ДС УРУЧЬЕ-2 - Великий Лес;12345;112529;;14386,14384,14382,14648,14646,14644,14642,14376,14373,14372;;d1-d5 - 02.12.2013
;;;;;;;;B>A;A;Великий Лес- ДС УРУЧЬЕ-2;12345;112530;;14372,14374,14375,14377,14641,14643,14645,14647,14381,14383,14385,14386;;
64;;;;;15865,;;;A>B;A;ДС УРУЧЬЕ-2 - Макаенка;1234567;96124;;14386,14404,14633,14629,14407,14410,14412,14413,14416,14631,14418,14420,14341,14343,14423,14425,14427,14428;;d1-d5 - 21.10.2013<br>d6 - 07.12.2013<br>d7 - 09.06.2013
;;;;;;;;B>A;A;Макаенка - ДС УРУЧЬЕ-2;1234567;96121;;14428,14426,14424,14346,14342,15418,14421,14419,14417,14415,14414,14411,14409,14408,14406,14628,14405,14386;;
65;;;;2 АП;16071,;;;A>B;A;дс Лошица-2 - Городской Вал;1234567;115232;;68811,15463,15464,15490,15487,15488,16125,16124,16127,72008,72006,15493,15494,15546,15547,15548,15549,14805,15880,15881,15883,15884,15885,15912,15920,14690;;d1-d5 - 13.01.2014<br>d6-d7 - 01.01.2014
;;;;;;;;B>A;A;Городской Вал - дс Лошица-2;1234567;115233;;14690,73579,15122,15774,15891,15918,15886,15887,15878,15879,15882,14726,15447,15449,15450,15451,15452,15454,72007,16128,16126,16123,15457,15458,15456,15465,15466,15467,68810,68811;;
;;;;;;;0.46;A1>D;A;дс Лошица-2 - D;1234567;115235;;68811,15464,15490,15491,15492,15493,15494,15546,15547;;
;;;;;;;0.49;B1>D;A;Городской Вал - дс Лошица- D;1234567;115236;;14690,73579,15122,15774,15891,15918,15886,15887,15878,15879,15882,14726,15447;;
;;;;;;;0;D>A;A;D - дс Лошица-2;1234567;115229;;15450,15451,15452,15454,72007,16128,16126,16123,15489,73771,15465,15466,15467,68810,68811;;
;;;;;;;0.47;D>B1;A;D -2 - Городской Вал;1234567;115230;;15549,14805,15880,15881,15883,15884,15885,15912,15920,14690;;
66;;;;6 АП;15834,;;;A>B;A;АС Автозаводская  - ул. Промышленная;1234567;93690;;14830,15620,15954,14901,14831,14834,14835,14836;;d1-d5 - 04.11.2013<br>d6-d7 - 01.12.2013
;;;;;;;;B>A;A;ул. Промышленная - АС Автозаводская;1234567;93691;;14836,14895,14829,14711,14830;;
67;;;;;16083,;;;A>B;A;д/с Чижовка - Колядичи;12345;117995;;68866,15539,15540,15541,15542,15485,15486,15456,58364,15990,15992,15993,15995,15997,15999,15998;;d1-d5 - 13.01.2014
;;;;;;;;B>A;A;Колядичи - д/с Чижовка;12345;117996;;15998,73901,16000,15996,15994,16001,15991,15490,15459,15460,15469,15499,15500,15501,15502,68866;;
68;;;;7 АП;16055,;;;A>B;A;д/с КАРАСТОЯНОВОЙ - Северное кладбище;1234567;113439;;15750,15714,15713,58346,14693,14694,14964,14968,14970,14971,16091,16093;;d1-d5 - 16.12.2013<br>d6 - 21.12.2013<br>d7 - 22.12.2013
;;;;;;;;B>A;A;Северное кладбище - д/с КАРАСТОЯНОВОЙ;1234567;113440;;16093,16090,14972,14999,15001,14845,14846,15716,15715,15750;;
68в;;;;;;;;A>B;A;д/с КАРАСТОЯНОВОЙ - Городок;12345;113441;;15750,15714,15713,58346,14693,14694,14964,14968,14970,14971,133406,16099;;d1-d5 - 16.12.2013
;;;;;;;;B>A;A;Городок - д/с КАРАСТОЯНОВОЙ;12345;113442;;16099,111279,14972,14999,15001,14845,14846,15716,15715,15750;;
69;;;;4 АП;14282,;;;A>B;A;Вокзал - Масюковщина;1234567;68766;;15899,15944,15870,15868,16238,15009,15010,15526,15039,15040,15041,54537,15236,15237,15238,15239,16234,133181,16237;;d1-d5 - 15.01.2014<br>d6-d7 - 07.02.2009
;;;;;;;;B>A;A;Масюковщина - Вокзал;1234567;68769;;16237,16233,133157,15229,15230,15231,15235,14699,14841,54519,15084,15112,15113,15890,15114,15115,16239,15866,15899;;
70;;;;6 АП;16011,;;;A>B;A;АС Автозаводская - Дражня;1234567;108516;;14626,14711,14743,14623,14622,14624,14705,14706,15769,15770,14546,14548,14549,14580,14582,14709,14710,14507,15286,15362,15363,15379,15380,15401;;d1-d5 - 02.12.2013<br>d6 - 02.11.2013<br>d7 - 03.11.2013
;;;;;;;;B>A;A;Дражня - AC Автозаводская;67;108515;;15401,15402,15403,15417,15283,15284,14506,58374,15618,58375,58366,14550,14544,14545,14547,14478,14479,14583,14585,14584,14619,14620,16180,14626;;
;;;;;16041,;;;B>A;A;Дражня - АС Автозаводская;12345;111829;;15401,15402,15403,15417,15283,15284,14506,58374,15618,58375,58366,14550,14544,14545,14547,14478,14479,14583,14585,14584,14619,14620,16180,14626;;
;;;;;16011,;;0;D>A1;A;D - ДС Автозаводская;12345;108518;;14479,14583,14585,14584,14619,14620,16180,14626;;
71;;;;4 АП;16118,;;;A>B;A;Ст.м. Тракторный завод - Степянка;12345;120837;;15813,15814,15811,14736,14737,15364,15365,15366,15383,15384,15385;;d1-d5 - 17.02.2014
;;;;;;;;B>A;A;Степянка - Ст.м. Тракторный завод;12345;120836;;15385,15367,15368,15417,14777,14778,15812,15813;;
72;;;;6 АП;16104,;;;A>B;A;д/с Шабаны - АС Автозаводская;12345;120270;;14746,14753,14824,14825,14828,16041,14712,14830;;d1-d4 - 03.02.2014<br>d5 - 07.02.2014
;;;;;;;;B>A;A;АС Автозаводская  - д/с Шабаны;12345;120267;;14830,15620,16040,16042,14826,14625,14713,14744,14746;;
72д;;;;;;;;A>B;A;АС Автозаводская - Электродепо "Могилевское";12345;120272;;14830,15620,16112;;d1-d4 - 03.02.2014<br>d5 - 07.02.2014
;;;;;;;;B>A;A;Электродепо "Могилевское" - АС Автозаводская;12345;120275;;16112,14830;;
73;;;;7 АП;16040,;;;A>B;A;ДС Серова - Веснянка;1234567;111487;;69176,15068,15095,15096,15097,15100,15102,15065,15837,15839,15845,15920,15599,15009,15010,15526,15039,15040,15041,15855,15853,71984;;d1-d5 - 02.12.2013<br>d6-d7 - 01.12.2013
;;;;;;;;B>A;A;Веснянка - ДС Серова;1234567;111490;;71984,71343,15852,15854,15856,15084,15112,15113,15890,15114,15115,15566,15122,15774,15891,15665,15838,15020,15104,15103,15101,15105,15092,15093,15094,69175,69176;;
;;;;;;;0.55;A>D;A;ДС Серова - АП 7 (подбор);67;111488;;69176,15068,15095,15096,15097,15100,15102,15065,15837,15839,15845,15920,15599;;
;;;;;;;0.6;D>A;A;АП 7 - ДС Серова (подбор);1234567;111489;;15566,15122,15774,15891,15665,15838,15020,15104,15103,15101,15105,15092,15093,15094,69175,69176;;
74с;;;;4 АП;16087,;;;A>B;A;ДС Малиновка-4-Городской Вал;1234567;118365;;54638,14951,14952,14953,14954,14955,14956,14957,14958,14917,143099,14919,14920,14921,69018,15595,15197,15200,15205,15209,15211,15597,14690;;d1-d5 - 17.01.2014<br>d6-d7 - 18.01.2014
;;;;;;;;B>A;A;Городской Вал - ДС Малиновка-4;1234567;118364;;14690,15122,15568,15210,15208,15204,14908,15198,15570,15571,14911,14922,14923,14924,14925,14926,14927,14928,14929,14947,14948,14949,14950,147112,54638;;
75;;;;5 АП;15949,;;;A>B;A;Малиновка-4 -ДС Юго - Запад;67;100773;;54638,14951,14952,14982,14983,15585,14942,14943,14933,15592,15593,15594,15595,15635,15636,15637,15656,15657,200002,15659,15645,54682;;d1-d5 - 11.11.2013<br>d6-d7 - 01.09.2013
;;;;;16020,;;;A>B;A;Малиновка-4 - ДС Юго - Запад;12345;109589;;54638,14951,14952,14982,14983,15585,14942,14943,14933,15592,15593,15594,15595,15635,15636,15637,15656,15657,200002,15659,15645,54682;;
;;;;;15949,;;;B>A;A;ДС Юго - Запад -  Малиновка-4;67;100776;;54682,15660,15661,15654,15655,15649,15650,15651,15570,15571,15572,54693,14938,14939,14940,14941,14980,14981,14949,14950,147112,54638;;
;;;;;16020,;;;B>A;A;ДС Юго - Запад - Малиновка-4;12345;109592;;54682,15660,15661,15654,15655,15649,15650,15651,15570,15571,15572,54693,14938,14939,14940,14941,14980,14981,14949,14950,147112,54638;;
76э;;;;6 АП;15720,;;;A>B;A;д/с Ангарская-4 - т.ц. Ждановичи;234567;116278;;68909,15330,15331,15332,15414,15417,14740,14754,14757,14760,14758,14759,14696,15853,14553,14555,14556,14557,14558,58376;;d2-d5 - 15.01.2013<br>d6-d7 - 07.12.2013
;;;;;;;;B>A;A;т.ц. Ждановичи - д/с Ангарская-4;234567;116279;;58376,14559,14560,14561,14562,14563,14552,15854,14844,14764,14765,14766,14767,14770,14773,15404,15409,15303,15304,15833,68909;;
77;;;;5 АП;16071,;;;A>B;A;Красный Бор - Республиканский Центр Тенниса;1234567;118378;;16007,14893,15178,14878,14879,14880,14861,14856,14679,14680,14681,14682,14683,14838,14839,14840,14841,54519,15084,15112;;d1-d5 - 08.01.2014<br>d6-d7 - 01.01.2014
;;;;;;;;B>A;A;Республиканский Центр Тенниса - Красный Бор;67;118379;;15112,15113,15890,14529,14533,14534,14536,14699,14700,14701,14591,14592,14593,14594,14595,14857,14862,14863,14866,14869,14889,14890,16007;;
;;;;;16078,;;;B>A;A;Республиканский центр тенниса - Красный Бор;12345;117448;;15112,15113,15890,14529,14533,14534,14536,14699,14700,14701,14591,14592,14593,14594,14595,14857,14862,14863,14866,14869,14889,14890,16007;;
;;;;;16071,;;0.06;D>A1;A;АП 5 - Красный Бор;1234567;118383;;14889,14890,16007;;
78;;;;4 АП;16057,;;;A>B;A;ДС Кунцевщина - а/в Центральный;1234567;113511;;15858,15553,15554,58331,72952,15517,15247,15254,15255,15263,15277,15278,15279,15280,15281,14685,14686,14687,14688,14570,14571,15893,15894,133147;;d1-d5 - 18.12.2013<br>d6-d7 - 21.12.2013
;;;;;;;;B>A;A;а/в Центральный - ДС Кунцевщина;1234567;113508;;133147,69093,15944,15892,14525,14526,14575,14576,14577,15220,15221,15222,15223,15224,15225,15256,15257,15258,15518,15519,72951,15520,15521,15522,15858;;
79;;;;6 АП;16040,;;;A>B;A;АС Автозаводская - Вокзал;1234567;112433;;14626,14711,14743,14623,14622,14624,14705,14706,15769,14707,14708,14543,14542,14510,15623,15624,15625,15626,15627,15628,15907,15908,15909,15896,15897;;d1-d5 - 17.02.2014<br>d6-d7 - 01.12.2013
;;;;;;;;B>A;A;Вокзал - АС Автозаводская;1234567;112430;;15897,15443,15905,15906,15612,15613,15614,15615,15616,15617,14508,14509,14541,14548,149028,14579,14588,14478,14479,14583,14585,14584,14619,14620,16180,14626;;
;;;;;16118,;;0.83;B1>D;A;Вокзал - D АП 6 (подбор  АП 6);12345;120770;;15897,15443,15905,15906,15612,15613,15614,15615,15616,15617,14508,14509,14541,14548,149028,14579,14588,14478,14479,14583,14585,14586;;
;;;;;;;0.27;D>A1;A;D АП 6 - ДС Автозаводская (подбор с Машиностроителей);12345;120769;;14479,14583,14585,14584,14619,14620,16180,14626;;
79д;;;;;;;;A>B;A;АС Автозаводская - Вокзал;12345;120776;;14626,14901,14833,14511,14899,16254,14624,14705,14706,15769,14707,14708,14543,14542,14510,15623,15624,15625,15626,15627,15628,15907,15908,15909,15896,15897;;d1-d5 - 17.02.2014
;;;;;;;;B>A;A;Вокзал - АС Автозаводская;12345;120779;;15897,15443,15905,15906,15612,15613,15614,15615,15616,15617,14508,14509,14541,14548,149028,14579,14588,14478,14479,14583,14585,14584,14619,14620,14901,14833,14511,14899,16254,14621,14829,14712,14711,14626;;
80;;;;7 АП;16041,;;;A>B;A;ДС КАРБЫШЕВА - Великий Лес;12345;112523;;14364,14439,14388,14390,14392,14395,14397,14399,14401,14403,14346,14342,14340,14678,14500,14676,14652,14378,14642,14376,14373,14372;;d1-d5 - 02.12.2013
;;;;;;;;B>A;A;Великий Лес - ДС КАРБЫШЕВА;12345;112524;;14372,14374,14375,14377,14641,14656,14653,14675,14489,14677,14341,14343,14344,14402,14400,14398,14396,14394,14391,14389,14364;;
81э;;;;6 АП;16118,;;;A>B;A;д/с Лошица-2 - Вокзал;12345;120780;;68811,15468,15485,15486,15491,15492,15493,15552,15896,15897;;d1-d5 - 17.02.2014
;;;;;;;;B>A;A;Вокзал - д/с Лошица-2;12345;120781;;15897,15443,15444,15454,15455,15459,15460,15461,68810,68811;;
82с;;;;2 АП;16085,;;;A>B;A;ДС Серебрянка -  Корженевского;12345;118208;;14501,54305,54306,15757,15756,15754,14796,14802,14803,14805,14806,14808,14809,14810,14812,15021,15022,15023,15024,15026,15031,15047,15048,15049,15055;;d1-d5 - 15.01.2014
;;;;;;;;B>A;A;Корженевского - ДС Серебрянка;12345;118206;;15055,15056,15057,15058,15059,15060,15062,15063,15064,14720,14721,14722,14723,14726,14728,14729,14730,15752,15753,14472,15758,15762,14475,14476,14501;;
83э;;;;4 АП;15419,;;;A>B;A;ДС Малиновка-4 - ТЦ Ждановичи;234567;116219;;54638,14951,14982,15585,15643,15645,58341,14874,14878,14600,14602,133184,133183;;d2-d5 - 20.03.2012<br>d6-d7 - 24.03.2012
;;;;;;;;B>A;A;ТЦ Ждановичи - ДС Малиновка-4;234567;116220;;133183,133185,14606,14868,14870,58335,15640,15641,15577,14980,14949,147112,54638;;
;;;;;;;0.31;A1>D;A;Малиновка-4 -  АП 4;234567;116218;;54638,14951,14982,15585,15643,15645;;
;;;;;;;0.27;D>A1;A;АП 4 - Малиновка-4;234567;116221;;15641,15577,14980,14949,15581,54638;;
84;;;;4 АП+ 5 АП;15972,;;;A>B;A;Малиновка-4 - Слепянка;12345;103898;;54638,14951,14952,14953,14954,14955,14956,14957,14958,14917,143099,14919,14920,14921,69018,15594,15595,15197,15200,14815,14719,14720,14721,14722,14723,14724,14726,14727,14728,14729,14730,14731,14733,15812,15813,15473,15435,15436,15437,15438,15439,15440;;d1-d5 - 24.09.2013
;;;;;;;;B>A;A;Слепянка - Малиновка-4;12345;103899;;15440,14773,15441,15470,15471,15472,15815,15814,15811,14781,14795,14796,14802,14803,14804,14805,14806,14808,14809,14810,14813,14814,200012,14908,15198,15570,15571,14911,14922,14923,14924,14925,14926,14927,14928,14929,14947,14948,14949,14950,147112,54638;;
;;;;;;;0.39;A1>D;A;Малиновка-4 - АП 5 (подбор до ст. м. Михалово);12345;103893;;54638,14951,14952,14953,14954,14955,14956,14957,14958,14917,143099,14919,14920,14921,69018,15594,15595,15197,15212;;
;;;;;;;0.12;B1>D;A;Слепянка - АП 4 (подбор);12345;103888;;15440,14773,15441,15470,15471,15472,15817;;
;;;;;;;0.62;B2>D;A;Слепянка - D  АП5;12345;103896;;15440,14773,15441,15470,15471,15472,15815,15814,15811,14781,14795,14796,14802,14803,14804,14805,14806,14808,14809,14810,14813,14814,200012,14908;;
